Ticker,Value,Momentum,Quality,Low Vol,Zscore Value,Fractile Value,Zscore Momentum,Fractile Momentum,Zscore Quality,Fractile Quality,Zscore Low Vol,Fractile Low Vol,Weight
AXP,7.6152334,0.7275618266726869,0.3469,0.2466442417680796,-0.04742878414511745,3,1.323489208895978,4,0.2090972479312654,4,-0.27321182209683437,2,0.008695652173913044
CAT,10.146108,0.3757001206459969,0.53475,0.2626897278342154,0.07233767375480904,4,0.44198978696908353,4,0.6336132767287236,4,-0.11784781239250508,3,0.008695652173913044
KO,10.063384,0.0786195652231696,0.3723,0.129258644803805,0.06842299522300284,4,-0.3022694870170395,2,0.26649787146842513,4,-1.409824134789342,1,0.008695652173913044
ABBV,49.89745,0.0688767179123348,0.56407,0.2385696046454216,1.9534571208062672,4,-0.3266776966213305,2,0.6998725791739803,4,-0.3513963030849938,2,0.008695652173913044
DIS,2.02422,0.1930922715549596,0.0546,0.2543457690539319,-0.312007626174282,2,-0.015487428243568437,3,-0.45146189615974885,1,-0.19864006060295045,3,-0.008695652173913044
CPAY,8.560113,0.2909803414021759,0.32836,0.2580608587339057,-0.002715038614659595,4,0.2297460697640702,3,0.16719931248327566,4,-0.16266787336519062,3,0.008695652173913044
EXR,2.3002436,0.0639663065450859,0.05568,0.2481193352747565,-0.29894559265085646,2,-0.338979475153959,2,-0.44902123972588537,1,-0.2589288991026956,2,-0.008695652173913044
HD,70.98818,0.2099398617217795,4.04933,0.2049991037241722,2.951516063206541,4,0.02671989565256043,3,8.576096877958273,4,-0.6764501911012546,1,0.008695652173913044
LULU,11.930866,-0.156588637835029,0.43159,0.397829188884616,0.15679628101593412,4,-0.8915234225178765,1,0.40048538995339333,4,1.1906702625060896,4,0.008695652173913044
MMM,17.5305,0.9265792276818664,1.1329399,0.3187782219721301,0.4217830684750983,4,1.8220763553178658,4,1.9854429323834941,4,0.42524158431548725,3,0.008695652173913044
BAC,1.3152018,0.428685620227806,0.08092,0.2291019828186445,-0.3455599003172133,1,0.5747313909910043,4,-0.3919821949196685,1,-0.44306867021114316,2,-0.008695652173913044
PFE,1.6017927,0.0092930367967245,0.04538,0.2318028984135156,-0.3319977993109635,1,-0.47594935523058773,2,-0.4722978705303241,1,-0.41691645051754656,2,-0.008695652173913044
RTX,2.7291734,0.4102954302399015,0.073460005,0.1767076078051102,-0.27864770715557197,2,0.5286594781746836,4,-0.4088407919505383,1,-0.9503889317789742,1,-0.008695652173913044
ADI,3.0668623,0.1204124276971108,0.04658,0.321351921788685,-0.2626675383138907,2,-0.1975681697652699,2,-0.46958603004825356,1,0.4501620087655243,4,-0.008695652173913044
INTC,0.9017706,-0.5739864383051643,-0.15597,0.5217433279091477,-0.3651243585520528,1,-1.9372067507288528,1,-0.9273221047510759,1,2.3904966447396627,4,-0.008695652173913044
MSFT,11.476494,0.1049982195891667,0.35604,0.204601891865521,0.13529441560983882,4,-0.23618452188283423,2,0.2297524329363694,4,-0.6802962838159157,1,0.008695652173913044
CI,1.9496973,-0.0003491818537224,0.07606,0.235224394270818,-0.31553420145862787,1,-0.5001054654889088,2,-0.4029651488720541,1,-0.38378705117207235,2,-0.008695652173913044
KMI,2.2117493,0.849088097520645,0.083500005,0.1904999606933952,-0.3031333342542269,2,1.6279421677333923,4,-0.3861517265838815,1,-0.8168413883048301,1,-0.008695652173913044
C,0.79955256,0.572929043681407,0.03874,0.271281647720951,-0.36996153720336683,1,0.9360963597081761,4,-0.48730338786444777,1,-0.034654625276854215,3,-0.008695652173913044
AIG,1.0324945,0.0924561774519479,0.085,0.2061801139025693,-0.35893822097500167,1,-0.26760539748360934,2,-0.38276193728062863,1,-0.6650147957470031,2,-0.008695652173913044
IP,2.4191794,0.6650650483048817,0.04797,0.3142721475613865,-0.2933172934520364,2,1.1669195309233067,4,-0.46644481482318856,1,0.3816105104051285,3,-0.008695652173913044
HPE,1.4331923,0.5721709635311163,0.086660005,0.3775479629825347,-0.33997633475816064,1,0.9341971839729093,4,-0.37901054664776246,1,0.9942927539108953,4,-0.008695652173913044
SMCI,3.5697427,-0.3004331259278462,0.32469,1.1533760629206218,-0.23887015054315797,2,-1.251888960822776,1,0.15890560034227658,4,8.506421956532211,4,0.008695652173913044
RCL,8.858103,0.8258698097925492,0.44263,0.3334675076711929,0.011386492448791415,4,1.569774692103361,4,0.42543432238844237,4,0.5674738804573555,4,0.008695652173913044
ADP,22.646544,0.2826241260193489,0.87263,0.1553935177083031,0.6638853315979616,4,0.20881171145427482,3,1.3971771617970503,4,-1.1567673790874744,1,0.008695652173913044
VRSK,131.63284,0.1524420324360256,2.65609,0.1945568201090013,5.82135249000752,4,-0.11732619521019097,3,5.427559683591646,4,-0.7775599391161041,1,0.008695652173913044
AVY,6.435484,-0.0290054664136338,0.30241,0.1791430225279273,-0.10325707640723253,3,-0.5718964499622756,1,0.10855576205850041,4,-0.9268074836963018,1,0.008695652173913044
DAY,4.384492,0.0352769420229395,0.02194,0.3527846258728635,-0.20031445215436994,3,-0.4108533330036781,2,-0.5252691546134352,1,0.7545162004826783,4,-0.008695652173913044
BK,1.6567854,0.5830525719242063,0.08563,0.1939071516440308,-0.32939542585107207,1,0.9614582679267741,4,-0.38133822102754167,1,-0.7838504994194967,1,-0.008695652173913044
BAX,2.1042736,-0.1437085592070144,0.01627,0.2671780573699517,-0.3082193167439619,2,-0.8592556830324474,1,-0.5380826008912185,1,-0.07438855720558528,3,-0.008695652173913044
