Ticker,Value,Momentum,Quality,Low Vol,Zscore Value,Fractile Value,Zscore Momentum,Fractile Momentum,Zscore Quality,Fractile Quality,Zscore Low Vol,Fractile Low Vol,Weight
LYB,1.8316128,-0.1422600442416116,0.1586,0.1898727129896764,-0.32112221530091145,1,-0.8556267996308585,1,-0.21643572104696926,2,-0.8229148545697916,1,-0.008695652173913044
AXP,7.6152334,0.7275618266726869,0.3469,0.2466442417680796,-0.04742878414511745,3,1.323489208895978,4,0.2090972479312654,4,-0.27321182209683437,2,0.008695652173913044
AVGO,4.13198,1.0162270945847744,0.12509,0.5373491123400111,-0.2122638659330005,3,2.04666613447928,4,-0.2921638665087889,2,2.541603144958278,4,0.008695652173913044
CAT,10.146108,0.3757001206459969,0.53475,0.2626897278342154,0.07233767375480904,4,0.44198978696908353,4,0.6336132767287236,4,-0.11784781239250508,3,0.008695652173913044
JPM,2.2999566,0.5664060134497602,0.16216,0.2376528978980139,-0.2989591741113592,2,0.9197545774683885,4,-0.20839059428349332,3,-0.3602725213194081,2,0.008695652173913044
PSX,1.7521964,-0.0857167094755457,0.11121,0.2545042061939497,-0.3248803710495857,1,-0.7139719504205123,1,-0.3235308214180714,2,-0.19710595753759047,3,-0.008695652173913044
GE,11.282185,0.9099081217777116,0.22552,0.3144265723709592,0.1260992936278659,4,1.7803111675589012,4,-0.0652054168301691,3,0.38310576318302236,3,0.008695652173913044
JNJ,5.037744,-0.0507132627014509,0.20889,0.1558990716650481,-0.16940115516366056,3,-0.6262797759999379,1,-0.10278700617752994,3,-1.1518722397618069,1,-0.008695652173913044
LULU,11.930866,-0.156588637835029,0.43159,0.397829188884616,0.15679628101593412,4,-0.8915234225178765,1,0.40048538995339333,4,1.1906702625060896,4,-0.008695652173913044
MRK,5.436391,-0.1829018316697902,0.28332,0.2117768549909562,-0.1505363172367115,3,-0.9574443930500687,1,0.065414899722895,3,-0.6108230976466932,2,-0.008695652173913044
MMM,17.5305,0.9265792276818664,1.1329399,0.3187782219721301,0.4217830684750983,4,1.8220763553178658,4,1.9854429323834941,4,0.42524158431548725,3,0.008695652173913044
BAC,1.3152018,0.428685620227806,0.08092,0.2291019828186445,-0.3455599003172133,1,0.5747313909910043,4,-0.3919821949196685,1,-0.44306867021114316,2,0.008695652173913044
T,1.5925977,0.3993603869397042,0.08759,0.1927935340059839,-0.3324329265908334,1,0.5012645267412977,4,-0.3769088815734931,2,-0.7946333514198224,1,0.008695652173913044
RTX,2.7291734,0.4102954302399015,0.073460005,0.1767076078051102,-0.27864770715557197,2,0.5286594781746836,4,-0.4088407919505383,1,-0.9503889317789742,1,0.008695652173913044
WMT,9.101038,0.7666878937675818,0.18531999,0.1772660286929294,0.022882701881656548,4,1.4215095530700796,4,-0.1560520955782027,3,-0.9449818965619265,1,0.008695652173913044
INTC,0.9017706,-0.5739864383051643,-0.15597,0.5217433279091477,-0.3651243585520528,1,-1.9372067507288528,1,-0.9273221047510759,1,2.3904966447396627,4,-0.008695652173913044
GM,0.83599544,0.5492092853569936,0.14167,0.3246918900420482,-0.36823698133115096,1,0.8766725778839899,4,-0.2546952705148477,2,0.48250199884054223,4,0.008695652173913044
DG,2.3362083,-0.4471999728310717,0.20882,0.4440498277551152,-0.2972436652900803,2,-1.619575720954078,1,-0.10294519687231736,3,1.6382119422294712,4,-0.008695652173913044
KMI,2.2117493,0.849088097520645,0.083500005,0.1904999606933952,-0.3031333342542269,2,1.6279421677333923,4,-0.3861517265838815,1,-0.8168413883048301,1,0.008695652173913044
C,0.79955256,0.572929043681407,0.03874,0.271281647720951,-0.36996153720336683,1,0.9360963597081761,4,-0.48730338786444777,1,-0.034654625276854215,3,0.008695652173913044
IP,2.4191794,0.6650650483048817,0.04797,0.3142721475613865,-0.2933172934520364,2,1.1669195309233067,4,-0.46644481482318856,1,0.3816105104051285,3,0.008695652173913044
HPE,1.4331923,0.5721709635311163,0.086660005,0.3775479629825347,-0.33997633475816064,1,0.9341971839729093,4,-0.37901054664776246,1,0.9942927539108953,4,0.008695652173913044
SMCI,3.5697427,-0.3004331259278462,0.32469,1.1533760629206218,-0.23887015054315797,2,-1.251888960822776,1,0.15890560034227658,4,8.506421956532211,4,-0.008695652173913044
RCL,8.858103,0.8258698097925492,0.44263,0.3334675076711929,0.011386492448791415,4,1.569774692103361,4,0.42543432238844237,4,0.5674738804573555,4,0.008695652173913044
AVY,6.435484,-0.0290054664136338,0.30241,0.1791430225279273,-0.10325707640723253,3,-0.5718964499622756,1,0.10855576205850041,4,-0.9268074836963018,1,-0.008695652173913044
BALL,2.4693575,-0.0207803143286823,0.14048,0.2364169528779683,-0.29094275727345675,2,-0.5512904371908955,1,-0.2573845123262343,2,-0.37223983557195944,2,-0.008695652173913044
AXON,22.113844,1.4151959425991762,0.16424,0.4525197902257256,0.638676815884346,4,3.0461804404346347,4,-0.20369007078123771,3,1.7202242493702622,4,0.008695652173913044
BK,1.6567854,0.5830525719242063,0.08563,0.1939071516440308,-0.32939542585107207,1,0.9614582679267741,4,-0.38133822102754167,1,-0.7838504994194967,1,0.008695652173913044
BAX,2.1042736,-0.1437085592070144,0.01627,0.2671780573699517,-0.3082193167439619,2,-0.8592556830324474,1,-0.5380826008912185,1,-0.07438855720558528,3,-0.008695652173913044
BSX,7.2534513,0.6758178427238555,0.08916,0.1743669261952546,-0.0645490953010305,3,1.1938579044435702,4,-0.37336089027611746,2,-0.9730531052947802,1,0.008695652173913044
CCL,3.7464998,0.5434123337019485,0.20120001,0.4108066363422287,-0.23050562241692715,3,0.8621497996295332,4,-0.12016536133479455,3,1.3163273017775414,4,0.008695652173913044
QRVO,2.4689097,-0.1644118714637714,-0.03908,0.4756012221699046,-0.29096394813761395,2,-0.9111225314951187,1,-0.6631662431267219,1,1.943715379634841,4,-0.008695652173913044
EPAM,4.027731,-0.1146845707117735,0.13094,0.438600374755247,-0.2171971540025119,3,-0.7865435104875131,1,-0.27894364415869505,2,1.5854463940083006,4,-0.008695652173913044
CAG,1.4605407,-0.0897973682792802,0.05605,0.2175544062376173,-0.3386821493420873,1,-0.7241949963358868,1,-0.44818508891058034,1,-0.5548806647248287,2,-0.008695652173913044
ABNB,9.552766,-0.1056928028143774,0.20873,0.3394704482414675,0.044259447491343376,4,-0.7640169380646128,1,-0.10314858490847266,3,0.625598695945682,4,-0.008695652173913044
GLW,3.9772725,0.8119325133969664,0.019299999,0.2737013147354202,-0.21958495931532493,3,1.5348583641668445,4,-0.5312352059338574,1,-0.011225657904488732,3,0.008695652173913044
CMI,4.889084,0.5752335911478523,0.19375,0.2394642645610621,-0.17643606777110582,3,0.9418698133823892,4,-0.1370013935929865,3,-0.3427335582330942,2,0.008695652173913044
CZR,1.7551248,-0.2296214036284312,-0.063769996,0.4187236790471807,-0.3247417928302958,1,-1.0744883195951473,1,-0.7189623520058549,1,1.3929858395477206,4,-0.008695652173913044
DOV,4.7843885,0.3400642893717349,0.2911,0.2059895937350466,-0.18139048518596382,3,0.35271333508442315,4,0.08299666551498565,4,-0.6668595499061393,2,0.008695652173913044
ETN,7.627809,0.5195660162801079,0.20079,0.2847300584804185,-0.046833679564287446,3,0.8024089563880034,4,-0.12109192943150604,3,0.09556262156314131,3,0.008695652173913044
EMR,3.441824,0.382618555192217,0.05933,0.2651308783206195,-0.24492353999128127,2,0.45932215348887034,4,-0.4407727249262542,1,-0.09421082649527758,3,0.008695652173913044
ETR,1.1769571,0.7839214267530463,0.11951,0.2391287823051118,-0.35210193841046294,1,1.4646837578904608,4,-0.30477392475041687,2,-0.34598194025494483,2,0.008695652173913044
IQV,5.3259478,-0.0518329381389573,0.22001,0.3001858025501079,-0.15576272824227186,3,-0.6290848361528399,1,-0.07765728437700961,3,0.2452163224066923,3,-0.008695652173913044
BRO,4.690058,0.3814326713204834,0.18144,0.1697670804153312,-0.18585440839137632,3,0.4563512250544863,4,-0.1648203572048934,3,-1.0175921414726068,1,0.008695652173913044
F,0.90762335,-0.0451232722333733,0.0799,0.3601376189665893,-0.36484739376822917,1,-0.6122754860138788,1,-0.39428725932942843,1,0.8257132016617518,4,-0.008695652173913044
BEN,0.84097284,-0.2267963954271449,0.04321,0.2905164420138771,-0.36800144000186064,1,-1.0674109847965043,1,-0.47720178206873504,1,0.15159057507852758,3,-0.008695652173913044
GRMN,5.4833755,0.7430783388969329,0.21909,0.34077874944394,-0.14831290911479225,3,1.3623618577853598,4,-0.07973636207993036,3,0.6382666151273957,4,0.008695652173913044
FCX,3.0961351,-0.02900828045289,0.16870001,0.3448430032751458,-0.26128228612920606,2,-0.5719034998171906,1,-0.19361104105753818,3,0.6776196623999848,4,-0.008695652173913044
DXCM,17.515295,-0.2984744407447655,0.32061002,0.5513905046042241,0.42106353500142535,4,-1.246981976552963,1,0.14968538790057817,4,2.6775620679231373,4,-0.008695652173913044
