Ticker,Value,Momentum,Quality,Low Vol,Zscore Value,Fractile Value,Zscore Momentum,Fractile Momentum,Zscore Quality,Fractile Quality,Zscore Low Vol,Fractile Low Vol,Weight
LYB,1.8316128,-0.1422600442416116,0.1586,0.1898727129896764,-0.32112221530091145,1,-0.8556267996308585,1,-0.21643572104696926,2,-0.8229148545697916,1,-0.008695652173913044
VZ,1.7279959,-0.0018843990650514,0.10431,0.1934132675891375,-0.3260255910318034,1,-0.5039515591704306,2,-0.33912390418997695,2,-0.7886326423088419,1,-0.008695652173913044
CAT,10.146108,0.3757001206459969,0.53475,0.2626897278342154,0.07233767375480904,4,0.44198978696908353,4,0.6336132767287236,4,-0.11784781239250508,3,0.008695652173913044
CVX,1.7907476,0.0927882696333681,0.103520006,0.1898248422115853,-0.32305604491671785,1,-0.2667734255442527,2,-0.3409091856148043,2,-0.8233783740918083,1,-0.008695652173913044
KO,10.063384,0.0786195652231696,0.3723,0.129258644803805,0.06842299522300284,4,-0.3022694870170395,2,0.26649787146842513,4,-1.409824134789342,1,0.008695652173913044
ABBV,49.89745,0.0688767179123348,0.56407,0.2385696046454216,1.9534571208062672,4,-0.3266776966213305,2,0.6998725791739803,4,-0.3513963030849938,2,0.008695652173913044
CPAY,8.560113,0.2909803414021759,0.32836,0.2580608587339057,-0.002715038614659595,4,0.2297460697640702,3,0.16719931248327566,4,-0.16266787336519062,3,0.008695652173913044
XOM,1.778047,0.1002306173969087,0.14513999,0.1904876979264473,-0.32365706476780165,1,-0.24812852858907705,2,-0.24685355438619774,2,-0.8169601252901257,1,-0.008695652173913044
PSX,1.7521964,-0.0857167094755457,0.11121,0.2545042061939497,-0.3248803710495857,1,-0.7139719504205123,1,-0.3235308214180714,2,-0.19710595753759047,3,-0.008695652173913044
GE,11.282185,0.9099081217777116,0.22552,0.3144265723709592,0.1260992936278659,4,1.7803111675589012,4,-0.0652054168301691,3,0.38310576318302236,3,0.008695652173913044
HD,70.98818,0.2099398617217795,4.04933,0.2049991037241722,2.951516063206541,4,0.02671989565256043,3,8.576096877958273,4,-0.6764501911012546,1,0.008695652173913044
MPWR,14.0721,0.1094889206790168,0.20214,0.5460703989941026,0.2581241033090226,4,-0.2249342199973285,2,-0.11804110888917671,3,2.6260489547502415,4,0.008695652173913044
IBM,8.502269,0.2231608533876736,0.26729,0.2129662176277469,-0.005452341755148369,4,0.05984170547491694,3,0.029189230616569476,3,-0.599306827744823,2,0.008695652173913044
LULU,11.930866,-0.156588637835029,0.43159,0.397829188884616,0.15679628101593412,4,-0.8915234225178765,1,0.40048538995339333,4,1.1906702625060896,4,0.008695652173913044
MMM,17.5305,0.9265792276818664,1.1329399,0.3187782219721301,0.4217830684750983,4,1.8220763553178658,4,1.9854429323834941,4,0.42524158431548725,3,0.008695652173913044
BAC,1.3152018,0.428685620227806,0.08092,0.2291019828186445,-0.3455599003172133,1,0.5747313909910043,4,-0.3919821949196685,1,-0.44306867021114316,2,-0.008695652173913044
PFE,1.6017927,0.0092930367967245,0.04538,0.2318028984135156,-0.3319977993109635,1,-0.47594935523058773,2,-0.4722978705303241,1,-0.41691645051754656,2,-0.008695652173913044
PG,7.8167267,0.0806414422473809,0.28766,0.1473584390731032,-0.03789368555446927,4,-0.2972041917674498,2,0.0752227227997168,3,-1.2345688261679046,1,0.008695652173913044
T,1.5925977,0.3993603869397042,0.08759,0.1927935340059839,-0.3324329265908334,1,0.5012645267412977,4,-0.3769088815734931,2,-0.7946333514198224,1,-0.008695652173913044
WMT,9.101038,0.7666878937675818,0.18531999,0.1772660286929294,0.022882701881656548,4,1.4215095530700796,4,-0.1560520955782027,3,-0.9449818965619265,1,0.008695652173913044
INTC,0.9017706,-0.5739864383051643,-0.15597,0.5217433279091477,-0.3651243585520528,1,-1.9372067507288528,1,-0.9273221047510759,1,2.3904966447396627,4,-0.008695652173913044
GM,0.83599544,0.5492092853569936,0.14167,0.3246918900420482,-0.36823698133115096,1,0.8766725778839899,4,-0.2546952705148477,2,0.48250199884054223,4,-0.008695652173913044
MSFT,11.476494,0.1049982195891667,0.35604,0.204601891865521,0.13529441560983882,4,-0.23618452188283423,2,0.2297524329363694,4,-0.6802962838159157,1,0.008695652173913044
CI,1.9496973,-0.0003491818537224,0.07606,0.235224394270818,-0.31553420145862787,1,-0.5001054654889088,2,-0.4029651488720541,1,-0.38378705117207235,2,-0.008695652173913044
C,0.79955256,0.572929043681407,0.03874,0.271281647720951,-0.36996153720336683,1,0.9360963597081761,4,-0.48730338786444777,1,-0.034654625276854215,3,-0.008695652173913044
AIG,1.0324945,0.0924561774519479,0.085,0.2061801139025693,-0.35893822097500167,1,-0.26760539748360934,2,-0.38276193728062863,1,-0.6650147957470031,2,-0.008695652173913044
HPE,1.4331923,0.5721709635311163,0.086660005,0.3775479629825347,-0.33997633475816064,1,0.9341971839729093,4,-0.37901054664776246,1,0.9942927539108953,4,-0.008695652173913044
RCL,8.858103,0.8258698097925492,0.44263,0.3334675076711929,0.011386492448791415,4,1.569774692103361,4,0.42543432238844237,4,0.5674738804573555,4,0.008695652173913044
ADM,1.0737442,0.0185409646240117,0.1075,0.2314499470395207,-0.3569861959878946,1,-0.45278103968460176,2,-0.3319149282418062,2,-0.42033398118433196,2,-0.008695652173913044
ADP,22.646544,0.2826241260193489,0.87263,0.1553935177083031,0.6638853315979616,4,0.20881171145427482,3,1.3971771617970503,4,-1.1567673790874744,1,0.008695652173913044
